EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,DISORDER_TYPE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,CIVILIAN_TARGETING,ISO,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TAGS,TIMESTAMP
USA23472,04-January-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Florida,Palm Beach,,West Palm Beach,26.71,-80.064,1,WPBF 25; Palm Beach Post,Subnational,"On 4 January 2020, dozens of armed pro-gun activists from Florida Carry marched to the Royal Park Bridge in West Palm Beach (Florida) to protest against proposed restrictions on their right to openly carry firearms.",0,armed; crowd size=dozens,1680633585
USA23133,05-January-2020,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (United States),Washington State III%ers; Patriot Prayer,6,Police Forces of the United States (2017-2021),,1,16,,840,North America,United States,Washington,King,,Seattle,47.606,-122.333,1,MilitiaWatch; Real Change News; Youtube; Seattle Times,Local partner-New media,"On 5 January 2020, about 100 people organized by the III%ers of Washington hosted a rallied in Seattle (Washington) to scold locals on political 'intolerance' towards right-wing views. Patriot Prayer and other armed groups showed up for the event. The event was counter-demonstrated by an anti-fascist coalition that included the Community and Labor Against Fascism (CLAF). The counter-demonstrators chanted slogans such as 'No Nazis, No KKK, No fascist USA' towards the rally-goers. Members from CLAF requested armed members of the Puget Sound John Brown Gun Club be present for protection. Four people were arrested, but there were no reports of police using force against either group.",0,armed; armed presence; counter-demonstration; crowd size=about 100,1680633602
USA24131,18-January-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Women (United States); PP: Planned Parenthood; ACLU: American Civil Liberties Union,6,Protesters (United States),,6,66,,840,North America,United States,Nevada,Clark,,Las Vegas,36.175,-115.137,1,Count Love; Las Vegas Review-Journal,Other-Subnational,"On 18 January 2020, hundreds of people gathered in Las Vegas (Nevada) to participate in the nationwide Women's March, rallying over women's rights. A congressional candidate was present at the event, as well as members of Planned Parenthood, the American Civil Liberties Union and the Democratic Socialists for America. At the same time, a group of counter-protesters gathered at the scene, one of whom was in possession of a firearm that was wrapped around his waist. According to reports, they shouted religious references to marchers, including racist/homophobic slurs, and rallied in support of President Donald Trump.",0,armed; counter-demonstration; crowd size=hundreds,1680633680
USA23134,20-January-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),VCDL: Virginia Citizens Defense League; Three Percenters (III%); Proud Boys; Oath Keepers; LFM: Light Foot Militia; Unidentified Communal Militia (United States),6,,,0,60,,840,North America,United States,Virginia,Richmond,,Richmond,37.539,-77.434,1,MilitiaWatch; Twitter,Local partner-New media,"On 20 January 2020, about 10,000 pro-Second Amendment demonstrators gathered outside the Capitol in Richmond (Virginia) as part of a Virginia Citizens Defense League organized effort. Many armed contingents carrying guns arrived, including the Three Percenters (III%), Oath Keepers, Proud Boys, Light Foot Militia, and other unidentified communal militia groups. Representative Nick Freitas (R) attended. Several members of the neo-Nazi group The Base were arrested in Georgia en route to the rally. The demonstrations were called to oppose gun restrictions bills at the state level and to oppose Democratic control over the governor's seat and legislature.",0,"armed; crowd size=about 10,000",1680633603
USA23812,25-January-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Proud Boys; Three Percenters (III%); Open Carry Texas; Unidentified Communal Militia (United States),6,,,0,60,,840,North America,United States,Texas,Travis,,Austin,30.275,-97.74,1,MilitiaWatch; Youtube,Local partner-New media,"On 25 January 2020, more than 5000 people attended an anti-abortion demonstration at the Texas Capitol in Austin (Texas). The demonstration was called the 'Texas Rally for Life.' Some demonstrators, including local militia groups, Three Percenters (III%), Open Carry Texas, and Proud Boys, showed up armed with guns for the protest.",0,armed; crowd size=more than 5000,1680633670
USA23814,31-January-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Boogaloo Boys; Unidentified Communal Militia (United States),6,,,0,60,,840,North America,United States,Kentucky,Franklin,,Frankfort,38.201,-84.874,1,WDRB; MilitiaWatch,Local partner-New media,"On 31 January 2020, about 200 pro-gun demonstrators protested at the State Capitol in Frankfort (Kentucky). Several armed protesters entered the Senate chamber with their rifles. The demonstrators were expressing their discontent with planned gun control measures in the state. Among the protesters were adherents of the Boogaloo movement.",0,armed; crowd size=about 200,1680633585
USA24315,31-January-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Washington State III%ers; Patriot Prayer,6,,,0,60,,840,North America,United States,Washington,Thurston,,Olympia,47.036,-122.905,1,Wenatchee World; Count Love,Other-Subnational,"On 31 January 2020, roughly 100 gun rights activists of Matt Marshall's Washington State III%ers and Patriot Prayer marched to the state Capitol building in Olympia (Washington) to rally against proposals for gun regulations.",0,armed; crowd size=roughly 100,1680633585
USA24180,31-January-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Women (United States),6,,,0,60,,840,North America,United States,New Mexico,Santa Fe,,Santa Fe,35.688,-105.939,1,Albuquerque Journal,Subnational,"On 31 January 2020, a group of roughly 500 pro-gun activists, including sheriffs, gathered at the Roundhouse in Santa Fe (New Mexico) to protest against Senate Bill 5 and advocate for Second Amendments rights. The bill allows judges to confiscate firearms from those who are deemed to pose a threat to themselves or others. Members of Pro-Gun women were part of the event, as well Trump supporters. Demonstrators armed with guns attended.",0,armed; crowd size=roughly 500,1680633585
USA32036,31-January-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),,6,,,0,60,,840,North America,United States,Alaska,Matanuska-Susitna,,Palmer,61.599,-149.115,1,Channel 2 (Anchorage),Subnational,"On 31 January 2020, hundreds of residents of Mats-Su borough gathered outside the borough assembly building in Palmer (Alaska) in support of the 2nd Amendment and guns rights after legislation was proposed to constrain development of gun ranges. A local assemblyman said the proposal was misunderstood and focused on noise pollution, not gun rights.",0,armed; crowd size=hundreds,1680633585
USA22843,08-February-2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (United States),Boogaloo Boys; Oath Keepers; Unidentified Communal Militia (United States),6,,,0,60,,840,North America,United States,Utah,Salt Lake,,Salt Lake City,40.778,-111.888,1,MilitiaWatch; Deseret News,Local partner-New media,"On 8 February 2020, demonstrators gathered outside the State Capitol Building in Salt Lake City (Utah) to demonstrate against gun regulations. The protest, titled a 'Pro 2A Freedom Rally' drew out Boogaloo adherents, Oath Keepers, and unidentified local militia groups, among other armed activists carrying guns.",0,armed; crowd size=several hundred,1680633585
